"","text","name","handle"
"51","@stevebartlettsc @kanyewest Love it! Especially love the story behind it. I must say though, I thought that had been done for months???🤔🤔","Kanye West","@KanyeWest"
"52","@MLKChefLean @yungrenzel_ Lmao she praying in her head the whole time, Ye please don’t say shit that’s gonna make u… https://t.co/OPy6dyDXvS","Kanye West","@KanyeWest"
"53","“I done lost &amp; made money...Now I’m making something they can’t take from me!” @kanyewest #KanyeWest… https://t.co/CmliEawkZ4","Kanye West","@KanyeWest"
"54","@kanyewest And twitter","Kanye West","@KanyeWest"
"55","@kanyewest Google pixel 2 xl and rogers ugh... Free sponsor","Kanye West","@KanyeWest"
"56","@kanyewest Mr.west with all due respect tell us when you gonna go on Mr.Rogan podcast... Man, tbh I'm on episode 29… https://t.co/EiIpZosKbu","Kanye West","@KanyeWest"
"57","Nothing serious, just hanging with my Pops @kanyewest ❤ https://t.co/mGyBkWTUGw","Kanye West","@KanyeWest"
"58","RT @kanyewest: Love everyone      Start the year clean      Just be     All love","Kanye West","@KanyeWest"
"59","RT @HomeboyzRadio: #JSWR He may be taking his Sunday Service to Coachella 

Played .@kanyewest as featured on .@lilpump 's 'I Love It' 🎶

|…","Kanye West","@KanyeWest"
"60","RT @kanyewest: McDonald’s is my favorite restaurant","Kanye West","@KanyeWest"
"61","@kanyewest i have a serious question the yeezys 700 for kids that people are selling are they real or fake I’m hear… https://t.co/VJTjFlgGGH","Kanye West","@KanyeWest"
"62","@enginerdmd @SneakerAdmirals @wex1200 @BenHerath @kanyewest @adidas Peaches n Cream","Kanye West","@KanyeWest"
"63","RT @kanyewest: They will not program me","Kanye West","@KanyeWest"
"64","RT @theStrapped: .@kanyewest and @PUSHA_T's ‘Runaway’ has reached over 100 million streams on Spotify. https://t.co/lpB8uxyjxq","Kanye West","@KanyeWest"
"65","RT @chartdata: .@kanyewest, @chrisbrown and @KidCudi's ""Waves"" has now surpassed 200 million streams on Spotify.","Kanye West","@KanyeWest"
"66","RT @theStrapped: .@kanyewest and @PUSHA_T's ‘Runaway’ has reached over 100 million streams on Spotify. https://t.co/lpB8uxyjxq","Kanye West","@KanyeWest"
"67","RT @chartdata: .@kanyewest, @chrisbrown and @KidCudi's ""Waves"" has now surpassed 200 million streams on Spotify.","Kanye West","@KanyeWest"
"68","RT @theStrapped: .@kanyewest and @PUSHA_T's ‘Runaway’ has reached over 100 million streams on Spotify. https://t.co/lpB8uxyjxq","Kanye West","@KanyeWest"
"69","RT @theStrapped: .@kanyewest and @PUSHA_T's ‘Runaway’ has reached over 100 million streams on Spotify. https://t.co/lpB8uxyjxq","Kanye West","@KanyeWest"
"70","RT @kanyewest: Tweeting is legal and also therapeutic","Kanye West","@KanyeWest"
"71","Now Playing: Feel The Love (Dirty) by @kanyewest @258Radio https://t.co/wyyMCEtXAd","Kanye West","@KanyeWest"
"72",".@kanyewest and @PUSHA_T's ‘Runaway’ has reached over 100 million streams on Spotify. https://t.co/lpB8uxyjxq","Kanye West","@KanyeWest"
"73","@kanyewest I just read that the green glow might only be for kids!!!!!!!!!!!!! Please keep that same energy!!!!!!!!… https://t.co/l4OaHxSBuf","Kanye West","@KanyeWest"
"74","RT @chartdata: .@kanyewest and @PUSHA_T's ""Runaway"" has now surpassed 100 million streams on Spotify.","Kanye West","@KanyeWest"
"75","RT @kanyewest: I be taking naps","Kanye West","@KanyeWest"
"76","RT @savannahcoylee: @kanyewest if you drop your album on good friday my teacher said he will postpone our history notebook check and our te…","Kanye West","@KanyeWest"
"77","RT @kardashstormy: LMAO 🤣  LOOK AT KIMs face 😂 #KUWTK IM SCREAMG 🤣🤣 @KimKardashian  @kanyewest  https://t.co/cAKWEEdkxE","Kanye West","@KanyeWest"
"78","Yo @kanyewest, when are you announcing your president campaign???","Kanye West","@KanyeWest"
"79","RT @maninopedi: @kanyewest i never ever dissed you. I love all Kanye's 😭😭😭","Kanye West","@KanyeWest"
"80","@kanyewest if you drop your album on good friday my teacher said he will postpone our history notebook check and our test on World War II","Kanye West","@KanyeWest"
"81","RT @kanyewest: If I got any cooler I would freeze to death","Kanye West","@KanyeWest"
"82","RT @kanyewest: From now on I’m performing with my mutherfucking hat on 🐉🐉🐉","Kanye West","@KanyeWest"
"83","RT @chartdata: .@kanyewest, @chrisbrown and @KidCudi's ""Waves"" has now surpassed 200 million streams on Spotify.","Kanye West","@KanyeWest"
"84","RT @kanyewest: Bro stop","Kanye West","@KanyeWest"
"85","⁦@kanyewest⁩ can you confirm? https://t.co/Rb8RlgvTKH","Kanye West","@KanyeWest"
"86","@seetickets @EstelleDarlings @kanyewest @harrietfairs93 you know it","Kanye West","@KanyeWest"
"87","RT @chartdata: .@kanyewest, @chrisbrown and @KidCudi's ""Waves"" has now surpassed 200 million streams on Spotify.","Kanye West","@KanyeWest"
"88","RT @kanyewest: I be taking naps","Kanye West","@KanyeWest"
"89","@kanyewest release yandhi i need ye over summer","Kanye West","@KanyeWest"
"90","RT @chartdata: .@kanyewest and @PUSHA_T's ""Runaway"" has now surpassed 100 million streams on Spotify.","Kanye West","@KanyeWest"
"91","@outofthewoodmp3 @chartdata @kanyewest @PUSHA_T stan this https://t.co/HYmrauSUvt","Kanye West","@KanyeWest"
"92","#OnThisDay in 2008, @EstelleDarlings featuring @kanyewest went to No.1 on the UK Singles Chart with 'American Boy'… https://t.co/lNQJDuLz6Z","Kanye West","@KanyeWest"
"93","RT @GoldTomoko: @Pure957fm @djsliming @kooSebor @kanyewest @MaseBillion Herr a program u cannot even miss wen u are sick this is indeed #Pu…","Kanye West","@KanyeWest"
"94","RT @TheArtOfKanye: You more like ""love to start shit""
I'm more of the trips to Florida
Ordered the hors d'oeuvres, views of the water
Strai…","Kanye West","@KanyeWest"
"95","@fatandbrown @FiveAlarmFunk #SOTD @30SECONDSTOMARS feat. @kanyewest

https://t.co/DQjJi19CpF","Kanye West","@KanyeWest"
"96","You more like ""love to start shit""
I'm more of the trips to Florida
Ordered the hors d'oeuvres, views of the water… https://t.co/TUh7XGVrfh","Kanye West","@KanyeWest"
"97","@kanyewest @BigSean @2chainz @PUSHA_T what are y’all waiting on? https://t.co/ivYqslzTk6","Kanye West","@KanyeWest"
"98","@KillThisBlack @outofthewoodmp3 @chartdata @kanyewest @PUSHA_T Reputation selling 12k per week thank u, next and sw… https://t.co/7NljLlOTHM","Kanye West","@KanyeWest"
"99","I UNDERSTAND YOU @kanyewest. I LOVE YOU AND WORSHIP YOU FOR TELLING ME THE TRUTH. PRAISE FOR A GOD FROM ANOTHER.","Kanye West","@KanyeWest"
"100","RT @kanyewest: Keep moving forward","Kanye West","@KanyeWest"
